Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,power_proxy,wear_torque_ratio,temp_stress_index,rpm_torque_interaction,wear_category,ambient_temperature,factory_load,humidity,temp_gap,load_torque_interaction,humidity_temp_interaction
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,449.4,66382.79999999999,-1,30.483570765056164,91,56,278.11642923494384,3894.7999999999997,16693.600000000002
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.4,0.0634249471458773,486.15,65190.4,0,27.308678494144075,66,87,281.3913215058559,3055.7999999999997,25943.399999999998
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999975,74001.2,0.0992063492063492,513.7599999999989,74001.2,0,31.23844269050346,80,42,277.26155730949654,3952.0,12520.2
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,0.1728395061728395,410.8000000000013,56603.5,0,35.61514928204013,83,36,272.9848507179599,3278.5,10735.199999999999
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,0.2195121951219512,420.0,56320.0,0,26.829233126383322,87,37,281.8707668736167,3480.0,11033.4
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,0.2564102564102564,439.95,59707.5,0,26.8293152152541,86,75,281.7706847847459,3603.4,22357.5
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,0.3225806451612903,445.2,66059.2,0,35.896064077536955,53,80,272.7039359224631,2247.2,23848.0
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,0.3883495145631068,422.1,61385.4,0,31.837173645764544,51,80,276.7628263542355,2050.2000000000003,23848.0
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999975,47676.2,0.6081081081081081,297.4399999999994,47676.2,0,25.65262807032524,61,52,283.04737192967474,1744.6000000000001,15511.6
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,0.7241379310344828,294.0,48748.0,0,30.712800217929825,84,55,278.28719978207016,2352.0,16417.5
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.8,0.9638554216867472,250.95,42589.8,0,25.682911535937688,55,73,283.2170884640623,1314.5,21783.199999999997
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.9,0.6401766004415012,465.15,63038.9,0,25.671351232148716,95,84,283.4286487678513,4208.5,25082.4
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,0.6525911708253359,536.5500000000001,68422.90000000001,0,29.20981135783017,57,56,279.89018864216985,2912.7000000000003,16721.600000000002
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,1.1935483870967742,317.999999999999,52260.0,0,18.43359877671101,70,38,290.766401223289,2100.0,11346.800000000001
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,1.9417475728155336,207.7599999999993,39886.0,0,19.375410837434835,95,75,289.82458916256513,1862.0000000000002,22395.0
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.8502024291497976,513.0399999999984,74632.8,0,25.188562353795135,84,67,284.01143764620485,4065.6,20006.2
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.9243697478991596,493.9599999999984,61092.6,0,22.93584439832788,97,76,286.2641556016721,4520.2,22693.600000000002
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,1.0085836909871244,478.8,64296.0,0,29.571236662976368,64,42,279.6287633370236,2918.4,12545.4
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999975,71177.0,0.9009009009009008,566.7999999999988,71177.0,0,23.459879622393945,56,36,285.74012037760605,3052.0,10756.800000000001
